formato,prefijo,concepto,columna,base,notas,tercero
1001,5255,5016,pago_deducible,neto_deb,Viajes,
1001,5260,EXCLUIR,,,Depreciaciones,
1001,5265,5019,pago_deducible,neto_deb,Amortizaciones,
1001,5295,5016,pago_deducible,neto_deb,Diversos,
1001,5299,EXCLUIR,,,Provisiones,
1001,5305,5016,pago_deducible,neto_deb,Gastos financieros (gastos bancarios),
1001,530515,5003,pago_deducible,neto_deb,Comisiones,
1001,530520,5006,pago_deducible,neto_deb,Intereses causados,
1001,530525,5088,pago_deducible,neto_deb,Diferencia en cambio: NIT del informante (realizada deducible; no realizada a no deducible),informante
1001,5310,EXCLUIR,,,Pérdida en venta y retiro de bienes,
1001,5315,5016,pago_no_deducible,neto_deb,Gastos extraordinarios (revisar deducibilidad),
1001,5395,5016,pago_no_deducible,neto_deb,Gastos diversos (multas y sanciones: no deducible),
1001,54,EXCLUIR,,,Impuesto de renta,
1001,6135,EXCLUIR,,,Costo de ventas de inventario (la compra se reporta en 5007 desde la cuenta 14),
1001,6205,5007,pago_deducible,neto_deb,Compras (inventario periódico),
1001,14,5007,pago_deducible,debito,Compra de activos movibles: débitos a inventarios (siempre deducible),
1001,1499,EXCLUIR,,,Provisiones de inventario,
1001,15,5008,pago_deducible,debito,Compra de activos fijos: débitos a PPE incluidas construcciones en curso capitalizadas,
1001,1592,EXCLUIR,,,Depreciación acumulada,
1001,1597,EXCLUIR,,,Amortización acumulada,
1001,1599,EXCLUIR,,,Provisiones,
1001,16,5008,pago_deducible,debito,Compra de intangibles (activos fijos),
1001,1698,EXCLUIR,,,Amortización acumulada,
1001,1699,EXCLUIR,,,Provisiones,
1001,17,5035,pago_deducible,debito,Gastos pagados por anticipado: otros conceptos (par. 5),
1001,170505,5034,pago_deducible,debito,Anticipados: intereses,
1001,170510,5030,pago_deducible,debito,Anticipados: honorarios,
1001,170515,5031,pago_deducible,debito,Anticipados: comisiones,
1001,170525,5033,pago_deducible,debito,Anticipados: arrendamientos,
1001,170540,5032,pago_deducible,debito,Anticipados: servicios,
1001,7,5016,pago_deducible,neto_deb,Costos de producción (afinar por subcuenta),
1001,7205,EXCLUIR,,,Mano de obra directa: va al 2276,
1001,236505,EXCLUIR,,,Retención por salarios: va en el 2276,
1001,236510,5070,ret_renta,credito,Retención por dividendos,
1001,236515,5002,ret_renta,credito,Retención honorarios,
1001,236520,5003,ret_renta,credito,Retención comisiones,
1001,236525,5004,ret_renta,credito,Retención servicios,
1001,236530,5005,ret_renta,credito,Retención arrendamientos,
1001,236535,5006,ret_renta,credito,Retención rendimientos financieros,
1001,236540,5007,ret_renta,credito,Retención compras,
1001,236570,5016,ret_renta,credito,Otras retenciones,
1001,236575,EXCLUIR,,,Autorretenciones (no se practican a terceros),
1001,2367,PRORRATA,ret_iva_comun,credito,Retención de IVA: se distribuye entre los conceptos del tercero,
1001,2368,EXCLUIR,,,Retención de ICA (no es renta ni IVA ni timbre),
1001,2360,5070,pago_no_deducible,credito,Dividendos decretados exigibles (confirmar 5070/5071 según gravado o no),
# ============================ 1003 RETENCIONES QUE LE PRACTICARON ============================
1003,135515,1308,retencion,debito,Retención en la fuente (afinar por subcuenta),
1003,13551505,1302,retencion,debito,Retención por ventas,
1003,13551510,1303,retencion,debito,Retención por servicios,
1003,13551515,1304,retencion,debito,Retención por honorarios,
1003,13551520,1306,retencion,debito,Retención rendimientos financieros,
1003,135517,1309,retencion,debito,Retención de IVA (la base a reportar es el valor del IVA),
1003,135505,EXCLUIR,,,Anticipo de renta,
1003,135510,EXCLUIR,,,Anticipo de ICA,
1003,135518,EXCLUIR,,,ICA retenido (no es exógena nacional),
1003,135520,EXCLUIR,,,Sobrantes en liquidación privada,
# ============================ 1005 / 1006 IVA ============================
1005,2408,,iva_descontable,debito,IVA descontable (mejor con subcuenta propia),
1006,2408,,iva_generado,credito,IVA generado (mejor con subcuenta propia),
# ============================ 1007 INGRESOS ============================
1007,41,4001,ingreso_bruto,neto_cred,Ingresos de actividades ordinarias,
1007,4175,4001,devoluciones,neto_deb,"Devoluciones, rebajas y descuentos",
1007,42,4002,ingreso_bruto,neto_cred,Otros ingresos brutos,
1007,4210,4003,ingreso_bruto,neto_cred,Intereses y rendimientos financieros,
1007,421020,4018,ingreso_bruto,neto_cred,Diferencia en cambio: NIT del informante,informante
1007,4250,4017,ingreso_bruto,neto_cred,Recuperaciones (solo si constituyen renta líquida arts. 195-198; si no 4002),
# ============================ 1008 CUENTAS POR COBRAR ============================
1008,13,1317,saldo_cxc,saldo_deb,Otras cuentas por cobrar,
1008,1305,1315,saldo_cxc,saldo_deb,Clientes,
1008,1315,1316,saldo_cxc,saldo_deb,Casa matriz,
1008,1320,1316,saldo_cxc,saldo_deb,Vinculados económicos,
1008,1325,1316,saldo_cxc,saldo_deb,Socios y accionistas,
1008,1328,1316,saldo_cxc,saldo_deb,Aportes por cobrar,
1008,1355,1317,saldo_cxc,saldo_deb_cuenta,Anticipos y saldos a favor de impuestos: cuenta por cobrar a la DIAN,800197268
1008,135510,EXCLUIR,,,Anticipo de ICA (a nombre del municipio: configurar),
1008,135518,EXCLUIR,,,ICA retenido (a nombre del municipio: configurar),
1008,1399,1318,saldo_cxc,saldo_cred,Deterioro: reportar el saldo FISCAL con el NIT del deudor,
# ============================ 1009 CUENTAS POR PAGAR ============================
1009,21,2203,saldo_cxp,saldo_cred,Obligaciones financieras,
1009,22,2201,saldo_cxp,saldo_cred,Proveedores,
1009,23,2206,saldo_cxp,saldo_cred,Demás pasivos,
1009,2310,2202,saldo_cxp,saldo_cred,Casa matriz,
1009,2315,2202,saldo_cxp,saldo_cred,Vinculados económicos,
1009,2335,2201,saldo_cxp,saldo_cred,Costos y gastos por pagar (proveedores de bienes y servicios),
1009,2355,2202,saldo_cxp,saldo_cred,Deudas con accionistas o socios,
1009,2360,2202,saldo_cxp,saldo_cred,Dividendos por pagar,
1009,2365,2206,saldo_cxp,saldo_cred_cuenta,Retención en la fuente por pagar a la DIAN,800197268
1009,2367,2206,saldo_cxp,saldo_cred_cuenta,Retención de IVA por pagar a la DIAN,800197268
1009,2368,2206,saldo_cxp,saldo_cred_cuenta,Retención de ICA por pagar al municipio (configurar el NIT),
1009,2370,2214,saldo_cxp,saldo_cred,"Aportes de nómina por pagar (EPS, pensión, parafiscales) a la entidad",
1009,238030,2214,saldo_cxp,saldo_cred,Fondos de cesantías y/o pensiones,
1009,24,2204,saldo_cxp,saldo_cred,"Impuestos, gravámenes y tasas",
1009,2408,2204,saldo_cxp,saldo_cred_cuenta,IVA por pagar: a la DIAN,800197268
1009,25,2215,saldo_cxp,saldo_cred,Pasivos laborales en cabeza del trabajador (sin cesantías),
1009,2510,2214,saldo_cxp,saldo_cred,Cesantías: se reportan a nombre del FONDO de cesantías,
1009,26,EXCLUIR,,,Pasivos estimados y provisiones (no son obligaciones ciertas),
1009,27,2206,saldo_cxp,saldo_cred,Diferidos,
1009,28,2206,saldo_cxp,saldo_cred,Otros pasivos,
# ============================ 1011 PROPIEDAD PLANTA Y EQUIPO Y OTROS ACTIVOS (sin tercero) ============================
# El formato pide VALOR PATRIMONIAL (fiscal). Estos valores son contables: ajustar con la declaración de renta.
1011,1105,1105,valor,saldo_deb,Caja,
1011,14,1527,valor,saldo_deb,Inventarios,
1011,15,1502,valor,saldo_deb,"Vehículos, maquinaria y equipo (afinar: inmuebles 1521-1524, muebles 1525)",
1011,1504,1523,valor,saldo_deb,Terrenos (urbanos; si son rurales usar 1522),
1011,1508,1524,valor,saldo_deb,Construcciones en curso,
1011,1516,1524,valor,saldo_deb,Construcciones y edificaciones,
1011,16,1512,valor,saldo_deb,Intangibles,
1011,17,1526,valor,saldo_deb,Otros activos,
# ============================ 1012 BANCOS E INVERSIONES ============================
1012,1110,1110,valor_31dic,saldo_deb_cuenta,Cuentas corrientes nacionales (a la entidad financiera),
1012,1120,1110,valor_31dic,saldo_deb_cuenta,Cuentas de ahorro nacionales,
1012,1225,1201,valor_31dic,saldo_deb_cuenta,Certificados de depósito (CDT),
1012,1230,1202,valor_31dic,saldo_deb_cuenta,Papeles comerciales y títulos,
1012,1245,1203,valor_31dic,saldo_deb_cuenta,Derechos fiduciarios,
1012,1295,1204,valor_31dic,saldo_deb_cuenta,Demás inversiones,
1012,1299,EXCLUIR,,,Provisiones,
